trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
179,False,"{'a': 0.5, 'e': 0.984158}",20,0,-112.61837383469332,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.9839795}",30,0,-184.58714899622626,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
181,False,"{'a': 0.5, 'e': 0.9838}",20,0,-79.1187388364693,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9836195}",20,0,-70.41949904062054,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.983438}",20,0,-143.5864971141173,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
184,False,"{'a': 0.5, 'e': 0.9832555}",20,0,-75.25361215879109,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
185,False,"{'a': 0.5, 'e': 0.983072}",30,0,-86.07310355190563,"{0: 16, 1: 9, 2: 3, 3: 2, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.9828875}",20,7,-68.16716006825054,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.982702}",20,0,-39.56978416999678,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.9825155}",25,0,-97.89853775915388,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
189,False,"{'a': 0.5, 'e': 0.982328}",30,0,-195.61463382170197,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
190,False,"{'a': 0.5, 'e': 0.9821395}",25,0,-50.95085964839099,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
